"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 11 11:50:41 MSK 2021","Sun Apr 11 11:50:42 MSK 2021","1204","","test","","test","test_db_matches_ui.test_group_list","test_db_matches_ui.test_group_list",""
"failed","Sun Apr 11 11:50:43 MSK 2021","Sun Apr 11 11:50:46 MSK 2021","2444","","test","","test","test_del_contact_from_group.test_del_contact_from_group","test_del_contact_from_group.test_del_contact_from_group",""
"failed","Sun Apr 11 11:50:37 MSK 2021","Sun Apr 11 11:50:38 MSK 2021","1067","","test","","test","test_add_group.test_add_group[None:namet:headerT>=#DN_d~O\\wg@i4pW;:footer+di1S 'KktTz=Wdz`#]","test_add_group.test_add_group[None:namet:headerT>=#DN_d~O\\wg@i4pW;:footer+di1S 'KktTz=Wdz`#]",""
"failed","Sun Apr 11 11:58:51 MSK 2021","Sun Apr 11 11:58:53 MSK 2021","1567","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Sun Apr 11 11:50:48 MSK 2021","Sun Apr 11 11:50:51 MSK 2021","2948","","test","","test","test_phones.test_phones_on_home_page","test_phones.test_phones_on_home_page",""
"passed","Sun Apr 11 11:58:48 MSK 2021","Sun Apr 11 11:58:49 MSK 2021","1182","test","test_add_contact","","","","test_add_contact[None:firstnamebX""9P6!o`:lastnamebc]",""
"passed","Sun Apr 11 11:50:42 MSK 2021","Sun Apr 11 11:50:43 MSK 2021","1275","","test","","test","test_del_contact.test_delete_some_contact","test_del_contact.test_delete_some_contact",""
"broken","Sun Apr 11 11:58:54 MSK 2021","Sun Apr 11 11:58:54 MSK 2021","0","test","test_add_group","","","","test_add_group[None:name:headerQY|r.BV1X )wa~*7`:footerx] u~KaJN3l]",""
"failed","Sun Apr 11 11:50:38 MSK 2021","Sun Apr 11 11:50:39 MSK 2021","1065","","test","","test","test_add_group.test_add_group[None:name:headerQY|r.BV1X )wa~*7`:footerx] u~KaJN3l]","test_add_group.test_add_group[None:name:headerQY|r.BV1X )wa~*7`:footerx] u~KaJN3l]",""
"passed","Sun Apr 11 11:58:47 MSK 2021","Sun Apr 11 11:58:48 MSK 2021","1232","test","test_add_contact","test_add_contact[None","","","test_add_contact[None::]",""
"passed","Sun Apr 11 11:58:50 MSK 2021","Sun Apr 11 11:58:51 MSK 2021","1200","test","test_add_contact","","","","test_add_contact[None:firstnamenyV n'p,:lastnamef]",""
"broken","Sun Apr 11 11:58:53 MSK 2021","Sun Apr 11 11:58:53 MSK 2021","0","test","test_add_group","","","","test_add_group[None:namet:headerT>=#DN_d~O\wg@i4pW;:footer+di1S 'KktTz=Wdz`#]",""
"failed","Sun Apr 11 11:58:54 MSK 2021","Sun Apr 11 11:58:56 MSK 2021","2091","test","test_contacts_home_page","","","","test_contacts_home_page",""
"failed","Sun Apr 11 11:50:35 MSK 2021","Sun Apr 11 11:50:37 MSK 2021","1403","","test","","test","test_add_group.test_add_group[None:::]","test_add_group.test_add_group[None:::]",""
"failed","Sun Apr 11 11:50:47 MSK 2021","Sun Apr 11 11:50:47 MSK 2021","60","","test","","test","test_modify_contact.test_modify_first_contact","test_modify_contact.test_modify_first_contact",""
"failed","Sun Apr 11 11:50:39 MSK 2021","Sun Apr 11 11:50:41 MSK 2021","2181","","test","","test","test_contacts_home_page.test_contacts_home_page","test_contacts_home_page.test_contacts_home_page",""
"passed","Sun Apr 11 11:50:23 MSK 2021","Sun Apr 11 11:50:30 MSK 2021","7407","","test","","test","test_add_contact.test_add_contact[None::]","test_add_contact.test_add_contact[None::]",""
"passed","Sun Apr 11 11:59:00 MSK 2021","Sun Apr 11 11:59:01 MSK 2021","495","test","test_del_group","","","","test_delete_some_group",""
"broken","Sun Apr 11 11:58:53 MSK 2021","Sun Apr 11 11:58:53 MSK 2021","1","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"failed","Sun Apr 11 11:58:56 MSK 2021","Sun Apr 11 11:58:57 MSK 2021","842","test","test_db_matches_ui","","","","test_group_list",""
"passed","Sun Apr 11 11:50:30 MSK 2021","Sun Apr 11 11:50:32 MSK 2021","1472","","test","","test","test_add_contact.test_add_contact[None:firstnamebX""9P6!o`:lastnamebc]","test_add_contact.test_add_contact[None:firstnamebX""9P6!o`:lastnamebc]",""
"passed","Sun Apr 11 11:50:46 MSK 2021","Sun Apr 11 11:50:47 MSK 2021","555","","test","","test","test_del_group.test_delete_some_group","test_del_group.test_delete_some_group",""
"passed","Sun Apr 11 11:59:01 MSK 2021","Sun Apr 11 11:59:02 MSK 2021","1198","test","test_modify_group","","","","test_modify_group_name",""
"passed","Sun Apr 11 11:50:32 MSK 2021","Sun Apr 11 11:50:33 MSK 2021","1441","","test","","test","test_add_contact.test_add_contact[None:firstnamenyV n'p,:lastnamef]","test_add_contact.test_add_contact[None:firstnamenyV n'p,:lastnamef]",""
"broken","Sun Apr 11 11:59:01 MSK 2021","Sun Apr 11 11:59:01 MSK 2021","4","test","test_modify_contact","","","","test_modify_first_contact",""
"passed","Sun Apr 11 11:59:02 MSK 2021","Sun Apr 11 11:59:05 MSK 2021","2840","test","test_phones","","","","test_phones_on_home_page",""
"passed","Sun Apr 11 11:58:59 MSK 2021","Sun Apr 11 11:59:00 MSK 2021","1186","test","test_del_contact_from_group","","","","test_del_contact_from_group",""
"passed","Sun Apr 11 11:50:47 MSK 2021","Sun Apr 11 11:50:48 MSK 2021","1211","","test","","test","test_modify_group.test_modify_group_name","test_modify_group.test_modify_group_name",""
"failed","Sun Apr 11 11:50:33 MSK 2021","Sun Apr 11 11:50:35 MSK 2021","1928","","test","","test","test_add_contact_to_group.test_add_contact_to_group","test_add_contact_to_group.test_add_contact_to_group",""
"passed","Sun Apr 11 11:58:57 MSK 2021","Sun Apr 11 11:58:58 MSK 2021","1241","test","test_del_contact","","","","test_delete_some_contact",""
